portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
53115,Amamapare,52900,NEW GUINEA WEST COAST - IRIAN JAYA,ID,Indonesia,"4°49'00""S","136°58'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,,XI,S,CN,F,U,Y,U,Y,U,6,23,6,,7,,,,Y,U,U,U,N,,,U,U,Y,Y,Y,U,U,Y,N,Y,U,Y,Y,U,U,U,Y,U,U,U,U,U,Y,Y,Y,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{23FDAE6E-A8D8-46B5-BB7A-A1C335D3DF24},U,U,U,U,U,U,U,U,U,U,U,U,ID AMA,gen05a,,,,Arafura Sea; South Pacific Ocean,,,,,,,
52720,Ambon,52650,SERAM,ID,Indonesia,"3°41'00""S","128°10'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,,XI,S,CN,F,N,N,N,Y,Y,11,11,11,8,5,,,,Y,Y,Y,N,Y,,,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,Y,Y,U,U,U,Y,U,U,N,Y,Y,Y,U,U,Y,Y,Y,U,U,U,U,Y,Y,Y,U,Y,Y,C,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{B6AED26A-5F9F-494A-B68D-7A9F92C2052A},U,U,U,U,U,U,U,U,U,U,U,U,ID AMQ,"coa04e, gen04c, h0452720",,,,Banda Sea; South Pacific Ocean,Amboina,,,,,,
51280,Ampenan,51250,LESSER SUNDA ISLANDS,ID,Indonesia,"8°34'00""S","116°04'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72203,XI,V,OR,P,Y,Y,N,N,U,8,19,,,3,,,,U,U,Y,N,U,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,Y,Y,U,U,U,Y,U,U,Y,Y,U,U,U,U,U,Y,Y,U,U,U,U,U,Y,Y,N,N,U,U,U,U,U,U,UNK,U,U,Y,U,U,U,U,{1CD47A86-6C7A-4236-BB79-AA6D811A4A45},U,U,U,U,U,U,U,U,U,U,U,U,ID AMP,"coa04d, gen04c",,,,Bali Sea; Java Sea; South Pacific Ocean,,,,,,,
50930,Anyer Lor,50920,JAWA,ID,Indonesia,"6°03'00""S","105°55'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71180,XI,V,OR,F,U,U,U,U,U,,9,9,,2,,,,Y,U,U,U,Y,,,Y,U,U,U,U,Y,Y,Y,Y,U,Y,Y,Y,U,U,U,Y,Y,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,D,U,U,U,U,UNK,U,U,Y,U,U,U,U,{7F29D806-375A-4F0D-95F7-A55653C42FD5},U,U,U,U,U,U,U,U,U,U,U,U,ID ANR,"coa04a, gen04c",,,,Indian Ocean,,,,,,,
50340,Ardjuna Oil Field,50020,INDONESIA,ID,Indonesia,"5°53'00""S","107°43'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,V,OR,P,U,U,U,Y,U,22,9,,22,0,,,,U,U,Y,U,Y,,,Y,Y,Y,Y,U,U,U,Y,Y,Y,Y,Y,Y,U,U,U,N,U,U,N,U,U,U,U,U,U,U,Y,U,U,U,U,N,N,N,N,U,U,N,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{117E9499-3342-41A8-8967-2CD789A5BC96},U,U,U,U,U,U,U,U,U,U,U,U,ID AJN,"coa04a, gen04c",,,,Java Sea; South Pacific Ocean,,,,,,,
51840,Balikpapan,51760,INDONESIA - BORNEO,ID,Indonesia,"1°15'00""S","116°49'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72100,XI,S,CN,E,N,N,N,Y,U,13,13,11,11,9,,,,U,U,Y,N,Y,,,U,N,Y,Y,Y,U,U,Y,U,Y,U,Y,U,U,U,U,Y,U,U,Y,U,Y,Y,U,U,Y,U,Y,U,U,U,U,Y,Y,Y,Y,N,N,C,S,U,U,U,UNK,U,U,Y,U,U,U,U,{0A13915A-4988-43B3-880B-51301D47024C},U,U,U,U,U,U,U,U,U,U,U,U,ID BPN,"a0451840, coa04c, gen04c, h0451840",,,,Makassar Strait; South Pacific Ocean,,,,,,,
51890,Banjarmasin,51760,INDONESIA - BORNEO,ID,Indonesia,"3°20'00""S","114°35'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72060,XI,V,RN,E,U,U,U,Y,Y,3,20,9,20,2,,,,N,U,U,U,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,Y,U,U,U,U,Y,U,U,N,Y,Y,Y,U,Y,Y,Y,Y,U,U,U,U,U,Y,Y,U,U,U,C,S,S,U,U,UNK,U,U,Y,U,U,U,U,{3D0A1141-4CE1-4A6E-8030-21B64F2AAF51},U,U,U,U,U,U,U,U,U,U,U,U,ID BDJ,"coa04b, gen04c",,,,Java Sea; South Pacific Ocean,,,,,,,
50925,Banten,50920,JAWA,ID,Indonesia,"6°01'00""S","105°58'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71180,XI,V,OR,P,U,U,U,Y,U,14,20,14,17,0,,,,U,U,U,U,Y,,,Y,U,Y,Y,Y,U,U,Y,Y,U,Y,Y,U,U,U,U,Y,Y,U,U,U,Y,Y,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,Y,N,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{779C7412-0708-42F3-8498-9A7CC876CA84},U,U,U,U,U,U,U,U,U,U,U,U,ID BTN,"coa04a, gen04c",,,,"Indian Ocean, Java Sea; South Pacific Ocean",,,,,,,
52260,Baubau,51970,SULAWESI,ID,Indonesia,"5°28'00""S","122°37'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,73261,XI,V,CN,G,Y,U,U,U,U,5,23,3,6,4,,,,Y,U,U,U,U,,,U,U,U,Y,Y,Y,U,Y,Y,U,U,U,Y,U,U,U,Y,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,D,U,U,U,U,UNK,U,U,U,U,U,U,U,{EF79482D-0592-4520-9A97-6A50E9B9EB18},U,U,U,U,U,U,U,U,U,U,U,U,ID BUW,"a0452270, coa04e, gen04c",,,,Banda Sea; South Pacific Ocean,Buton,,,,,,
51501,Belanak Field Terminal,51480,KEPULAUAN ANAMBAS,ID,Indonesia,"4°09'00""N","106°15'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71450,XI,V,OR,P,Y,Y,U,U,U,,22,,13,0,,,,U,U,U,U,Y,,,U,U,Y,Y,Y,U,U,Y,Y,U,U,Y,Y,U,U,U,Y,U,U,N,U,U,U,U,U,U,U,U,U,U,U,U,U,N,N,N,U,U,N,U,U,U,U,UNK,U,U,U,U,U,U,U,{B9F4D913-B01B-43D0-970A-60CF42F4B9A8},U,U,U,U,U,U,U,U,U,U,U,U,ID BNT,"coa11b, gen11b",,,,South China Sea; North Pacific Ocean,,,,,,,
